,S&P500,WML,value_factor
2016-07-27,-0.11985423438815265,-0.41,0.13
2016-07-28,0.16062092674702202,0.24,0.27
2016-07-29,0.16313092282023237,0.34,0.04
2016-08-01,-0.1269787392142437,-0.08,0.22
2016-08-02,-0.6361619668044342,0.65,-0.91
2016-08-03,0.3133943389343499,-1.58,0.21
2016-08-04,0.021257191858254098,0.42,0.16
2016-08-05,0.8603496361326275,-1.42,0.8
2016-08-08,-0.09071652887538072,-0.18,-0.1
2016-08-09,0.038979363549189745,0.31,0.02
2016-08-10,-0.28646859977113953,0.69,-0.06
2016-08-11,0.4734588091577449,-0.49,0.54
2016-08-12,-0.07960462665462968,-0.13,-0.06
2016-08-15,0.27929089824626846,-0.96,0.41
2016-08-16,-0.5479077020728967,-0.26,-0.57
2016-08-17,0.18685899424381655,0.38,0.11
2016-08-18,0.2199617391366979,0.05,0.14
2016-08-19,-0.14402716807318205,-0.39,-0.02
2016-08-22,-0.05633228782352362,0.17,0.06
2016-08-23,0.19517690543742305,-0.51,0.22
2016-08-24,-0.52402768821378,0.04,-0.51
2016-08-25,-0.1365227301395816,0.47,-0.17
2016-08-26,-0.1578816759626459,-0.3,-0.24
2016-08-29,0.5228047337119548,0.09,0.33
2016-08-30,-0.19536806559314682,-0.74,-0.33
2016-08-31,-0.23758642547397282,0.07,-0.12
2016-09-01,-0.004138464820835689,0.6,0.21
2016-09-02,0.4201041315648488,0.27,0.42
2016-09-06,0.2981678758352634,0.4,0.25
2016-09-07,-0.014638505859998407,-0.54,0.0
2016-09-08,-0.2223013501127694,-0.31,-0.63
2016-09-09,-2.452206885729549,-0.47,-2.54
2016-09-12,1.467705252539182,0.0,1.54
2016-09-13,-1.4830674013266896,-0.35,-1.11
2016-09-14,-0.05876766500768526,0.28,0.27
2016-09-15,1.0109273250546658,0.05,1.18
2016-09-16,-0.3772294907126729,0.06,-0.25
2016-09-19,-0.001860309730770861,0.06,-0.17
2016-09-20,0.029913841439488192,0.1,0.15
2016-09-21,1.0917162154086815,0.68,0.9
2016-09-22,0.6499784681166466,-0.28,0.68
2016-09-23,-0.5736774814255415,-0.23,-0.52
2016-09-26,-0.8587762454059558,0.31,-0.8
2016-09-27,0.6444170061260637,0.18,0.75
2016-09-28,0.5296553758763496,-0.25,0.23
2016-09-29,-0.9321411325290326,0.12,-0.8
2016-09-30,0.7967969361336945,-0.32,0.89
2016-10-03,-0.3260695824222057,-0.15,-0.23
2016-10-04,-0.49555623000289534,-0.83,-0.52
2016-10-05,0.42966905416751244,-0.62,0.32
